UTM,,O,,n.f.,(Mercator transverse universelle) Système de projection conforme normalisé représentant la terre entre 72° Nord et 72° Sud au moyen de 60 projections Mercator transverses dont les méridiens centraux sont espacés de 6°.,,,,,,,,,,,,,,,,,,,,,,,
(bande de) grisés,O,,,n.f.,"Bande comprise entre deux filets du cadre, contenant des éléments graphiques différents régulièrement alternés destinés à matérialiser et/ou à souligner les graduations en latitude et en longitude.",,,,,,,,,,,,,,,,,,,,,,,
(direction du) Nord géographique,,,,n.f.,"Trace sur le plan horizontal d'un lieu, du demi-plan vertical de ce lieu et contenant le pôle Nord.",,,,,,,,,,,,,,,,,,,,,,,
(direction du) Nord magnétique,,,,n.f.,"Direction horizontale indiquée par l'aiguille aimantée, en général distincte de la direction du pôle magnétique Nord.",,,,,,,,,,,,,,,,,,,,,,,
(système de) projection,,,,n.m.,"Correspondance mathématique continue, généralement biunivoque, entre les points d'un ellipsoïde de référence, ou d'une partie de cet ellipsoïde, et les points d'un plan, ou éventuellement d'une autre surface.",,,(système de) représentation,,,,,,,,,,,,,,,,,,,,
(système de) projection,,,,n.m.,"Correspondance mathématique continue, généralement univoque, entre les points d'un ellipsoïde de référence, ou d'une partie de cet ellipsoïde, et les points d'un plan, ou éventuellement d'une autre surface.",,COORD. & PROJECTIONS,,,,,,,,,,,,,,,,,,,,,
(système de) représentation,,,,n.m.,"Correspondance mathématique continue, généralement biunivoque, entre les points d'un ellipsoïde de référence, ou d'une partie de cet ellipsoïde, et les points d'un plan, ou éventuellement d'une autre surface.",,,(système de) projection,,,,,,,,,,,,,,,,,,,,
abaque, ,,,n.m.,,,,,,,,,,,,,,,,,,,,,,,,
abaque de César,,,,n.m.,,,,,,,,,,,,,,,,,,,,,,,,
abaque d'échelle,N,,,n.m.,Abaque permettant de déterminer l'échelle d'une carte en un point donné.,,,,,,,,,,,,,,,,,,,,,,,
abattage,N,,,n.m.,Modelage consistant à riper les gradins à l'outil,,,,,,,,,,,,,,,,,,,,,,,
abscisse,N,,,n.f.,Coordonnée rectangulaire d'un point du plan de projection le long de l'axe dont la direction est voisine de celle des parallèles.,,COORD. & PROJECTIONS,,,,,,,,,,,,,,,,,,,,,
abscisse curviligne,,,,n.f.,,,COORD. & PROJECTIONS,,,,,,,,,,,,,,,,,,,,,
absorption,N,,,n.f.,Transformation d'énergie rayonnante en une autre forme d'énergie par interaction avec la matière. (Commission Internationale de l'Éclairage),,,,,,,,,,,,,,,,,,,,,,,
accentuation d'image,N,,,n.f.,Modification d'une image destinée à accroître les possibilités de détection et d'observation de certains faits ou phénomènes.,,,image enhancement,,,,,,,,,,,,,,,,,,,,
accident géographique,,,,n.m.,,,,,,,,,,,,,,,,,,,,,,,,
aciérage,O,,,n.m.,"Dépôt d'une couche de fer, effectué par galvanoplastie, sur une forme en creux afin d'augmenter sa résistance à l'usure.",,,,,,,,,,,,,,,,,,,,,,,
actualisation,N,,,n.f.,Remplacement d'une information périmée par une information de même nature dans son état le plus récent.,,,,,,,,,,,,,,,,,,,,,,,
actualité des données, ,,,n.f.,,,,,,,,,,,,,,,,,,,,,,,,
adhésif,O,,,n.m.,,,,,,,,,,,,,,,,,,,,,,,,
aérographe,N,,,n.m.,Appareil utilisant un gaz comprimé pour pulvériser une solution colorée par un orifice de section variable.,,,,,,,,,,,,,,,,,,,,,,,
aérotriangulation,N,,,n.f.,"Procédé de densification d'un canevas de points d'appui, utilisant un ensemble de segments d'imagerie spatiale.",,,,,,,,,,,,,,,,,,,,,,,
agrégation spatiale,,,,n.f.,,,Aanalyse spatiale ,,,,,,,,,,,,,,,,,,,,,
ajout,N,,,n.m.,Apport d'une information supplémentaire.,,,addition,,,,,,,,,,,,,,,,,,,,
altération,N,,,n.f.,"Erreur systématique, généralement de valeur connue, inséparablement liée à la nature même d'un processus.",,Qualité,,,,,,,,,,,,,,,,,,,,,
altération angulaire (d'une projection),N,,,n.f.,Différence entre l'angle formé par deux lignes sur le plan de la projection et l'angle formé par les lignes correspondantes sur l'ellipsoïde de référence.,,COORD. & PROJECTIONS,,,,,,,,,,,,,,,,,,,,,
altération de conversion,N,,,n.f.,"Altération résultant de l'utilisation d'un quadrillage relatif à une projection, mis en place sur une carte établie dans une projection différente.",,COORD. & PROJECTIONS,,,,,,,,,,,,,,,,,,,,,
altération de généralisation,N,,,n.f.,Altération sémiographique due au processus de généralisation cartographique,,Généralisation,,,,,,,,,,,,,,,,,,,,,
altération des surfaces (d'une projection),N,,,n.f.,Différence entre l'aire d'une figure fermée sur le plan de projection et l'aire de la figure correspondantes sur l'ellipsoïde de référence.,,COORD. & PROJECTIONS,,,,,,,,,,,,,,,,,,,,,
altération linéaire (d'une projection),N,,,n.f.,Différence entre la longueur d'un arc sur le plan de projection et la longueur de l'arc correspondant sur l'ellipsoïde de référence.,,COORD. & PROJECTIONS,,,,,,,,,,,,,,,,,,,,,
altération sémiographique,N,,,n.f.,"Altération de forme, de dimension, ou de position, résultant de la symbolisation cartographique.",,Rédaction cartographique,,,,,,,,,,,,,,,,,,,,,
altitude ,N,,,n.f.,Distance verticale d'un lieu à une surface de référence.,,COORD. & PROJECTIONS,,,,,,,,,,,,,,,,,,,,,
amer,N,,,n.m.,"Élément topographique naturel, rapporté ou construit spécialement pour cet usage, utilisable pour la navigation maritime par observation optique, à l'aide du radar, ou éventuellement d'autres appareillages.",,,,,,,,,,,,,,,,,,,,,,,
amorces,N,,,n.f.,"Fragments des lignes d'un canevas, constitués de courts segments ayant leur origine sur une ligne déterminée.",,Rédaction cartographique,,,,,,,,,,,,,,,,,,,,,
amorces du carroyage,N,,,n.f.,"Amorces des lignes du carroyage, en général le long d'un filet de cadre.",,Rédaction cartographique,,,,,,,,,,,,,,,,,,,,,
amorces du quadrillage,N,,,n.f.,"Amorces des lignes du quadrillage, en général le long d'un filet de cadre.",,Rédaction cartographique,,,,,,,,,,,,,,,,,,,,,
anaglyphe,N,,,n.m.,"Procédé permettant l'examen stéréoscopique, d'un couple d'images imprimées l'une sur l'autre en couleurs sensiblement complémentaires, et séparées au moyen de filtres colorés appropriés.",,,,,,,,,,,,,,,,,,,,,,,
analyse spatiale,,,,n.f.,,,Analyse spatiale,,,,,,,,,,,,,,,,,,,,,
anamorphose,,,,n.f.,,,COORD. & PROJECTIONS,,,,,,,,,,,,,,,,,,,,,
anamorphose optique,,,,n.f.,,,,,,,,,,,,,,,,,,,,,,,,
anneau de tracé,O,,,n.m.,"Instrument de tracé guidé à la main, constitué d'un anneau cylindrique s'appuyant sur deux pieds et une béquille à pivot, qui reçoit le couteau à tracer.",,,,,,,,,,,,,,,,,,,,,,,
annexe graphique,N,,,n.f.,"Placard imprimé, joint aux groupes d'avis aux navigateurs, destiné à être collé sur une carte marine, pour effectuer une correction localisée, mais trop complexe pour être réalisée à la main.",,Carte marine,,,,,,,,,,,,,,,,,,,,,
aplat,N,,,n.m.,Surface couverte d'une teinte plate.,,,,,,,,,,,,,,,,,,,,,,,
appareil de reproduction photographique,O,,,n.m.,"Équipement photographique, sur banc ou en chambre laboratoire, permettant l'exécution précise des clichés de format cartographique et, éventuellement, la correction de certaines erreurs géométriques du modèle par basculement.",,,,,,,,,,,,,,,,,,,,,,,
approche objet,,,,n.f.,,,,approche orienté objet,,"bd orientée objet, conception orientée objet, langage à objets, modèle orienté objet, programmation adaptée à l'objet, SGBD orientées objet",,,,,,,,,,,,,,,,,,
aquatinte,N,,,n.f.,"Gravure chimique sur métal, effectuée à travers une couche finement craquelée qui découpe les traits pour imiter un lavis ",,,,,,,,Épreuve imprimée à l'aide d'une planche gravée par ce procédé.,,,,,,,,,,,,,,,
arc,,,,n.m.,,,Théorie des graphes,vecteur selon OQLF et Wikipedia,,graphe,,,,,,,,,,,,,,,,,,
archivage (en cartographie),N,,,n.m.,Conservation de documents cartographiques disposés suivant un ordre systématique permettant leur consultation ultérieure.,,Documentation,,,,,,,,,,,,,,,,,,,,,
assemblage ,N,,,n.m.,"Juxtaposition de plusieurs coupures ou de plusieurs cartes adjacentes, réalisant un ensemble d'un seul tenant couvrant la surface correspondante.",,,,,,,,,,,,,,,,,,,,,,,
assemblage (de cartes en relief),N,,,n.m.,"Assemblage de deux ou plusieurs cartes en relief en un bloc unique. Nota ceci nécessite que les cartes en relief à assembler soient montées sur un support rigide ou semi-rigide, présentant le long des côtés des faces verticales bien dressées.",,,,,,,,,,,,,,,,,,,,,,,
assemblage (pour un fond provisoire),N,,,n.m.,"Juxtaposition de documents en vue de l'établissement d'un fonds provisoire, en assurant une qualité géométrique parfaite.",,,,,,,,,,,,,,,,,,,,,,,
association d'éléments graphiques,N,,,n.f.,"Réunion d'éléments graphiques dont la disposition relative est agencée de façon déterminée et comporte, pour deux éléments, quatre possibilités : séparation, juxtaposition, intersection, superposition.",,,,,,,,,,,,,,,,,,,,,,,
astrafoil,O,,O,n.m.,,,,,,,,,,,,,,,,,,,,,,,,
astralon®,O,,O,n.m.,,,,,,,,,,,,,,,,,,,,,,,,
atlas,N,,,n.m.,"Recueil ordonné de cartes, conçu pour représenter un espace donné ou exposer un ou plusieurs thèmes.",,Documents cartographiques,,,,,,,,,,,,,,,,,,,,,
attribut,,,,n.m.,,,Base de données géographiques,,,données attributaires,,,,,,,,,,,,,,,,,,
attribut d'objet,,,,n.m.,,,,,,,,,,,,,,,,,,,,,,,,
auteur,N,,,n.m.,"Toute personne, groupe de personnes ou organisme, qui assume le choix de l'information présentée sur la carte, et le plus souvent a participé à sa conception et/ou au choix du mode de représentation ",,Documentation,,,,,,"Au sens juridique, personne ou groupe de personnes physiques ou morales détentrices du droit d'auteur attaché à ce document.",,Documentation,,,,,,,,,,,,,
avis aux navigateurs,N,,,n.m.,"Information de rédaction normalisée et diffusée sous forme de groupes en général hebdomadaires, permettant aux abonnés de tenir à jour leur collection de cartes marines par corrections manuelles.",,Carte marine,,,,,,,,,,,,,,,,,,,,,
axe des pôles,,,,n.m.,,,,,,ligne des pôles,,,,,,,,,,,,,,,,,,
axe d'un caractère,N,,,n.m.,"Médiane non parallèle à la ligne de base, du parallélogramme dans lequel est inscrit un caractère et dont l'un des côtés est parallèle à la ligne de base.",,Rédaction cartographique,,,,,,,,,,,,,,,,,,,,,
axes de coordonnées,N,,,n.m.,Lignes droites d'égale valeur de l'une des coordonnées rectangulaires sur le plan de projection.,,COORD. & PROJECTIONS,,,,,,,,,,,,,,,,,,,,,
axoïde,N,,,n.m.,"Ligne d'une zone géographique de forme allongée, choisie au voisinage de sa ligne médiane et convenablement lissée, de manière à schématiser la direction générale de cette zone.",,,,,,,,,,,,,,,,,,,,,,,
azimut astronomique (d'une direction en un lieu),N,,,n.m.,"Angle dièdre que font les demi-plans limités par la verticale d'un lieu et contenant respectivement la direction donnée et une parallèle à la ligne des pôles orientée du Sud au Nord, compté en général de 0 à 360° ou 400 gon.",,COORD. & PROJECTIONS,,,,,,,,,,,,,,,,,,,,,
azimut géodésique (d'une direction en un lieu),N,,,n.m.,Angle dièdre que font les demi-plans limités par la normale menée d'un lieu à la surface de l'ellipsoïde de référence et contenant respectivement la direction donnée et l'axe de l'ellipsoïde orienté du Sud au Nord.,,COORD. & PROJECTIONS,,,,,,,,,,,,,,,,,,,,,
azimut magnétique (d'une direction en un lieu),N,,,n.m.,Angle dièdre que font les demi-plans limités par la verticale d'un lieu et contenant respectivement la direction donnée et celle du Nord magnétique.,,COORD. & PROJECTIONS,,,,,,,,,,,,,,,,,,,,,
banc photographique,N,,,n.m.,Bâti rigide portant les différents éléments d'un appareil de reproduction photographique ,,,,,,,,"Par abus de langage, ensemble d'un appareil de reproduction photographique monté sur banc.",,,,,,,,,,,,,,,
bande de couleur,N,,,n.f.,"Bande colorée comportant des aplats, des dégradés et des graphismes divers, imprimés en bord de marge au cours du tirage, permettant un contrôle visuel rapide la qualité d'impression.",,Édition/impression,,,,,,,,,,,,,,,,,,,,,
bande de graduation géographique,N,,,n.f.,"Bande comprise entre deux filets du cadre, contenant des éléments graphiques différents régulièrement alternés destinés à matérialiser et/ou à souligner les graduations en latitude et en longitude.",,Rédaction cartographique,bande de grisés,,,,,,,,,,,,,,,,,,,,
bande de raccord,N,,,n.f.,"Partie de la surface cartographique extérieure à l'orle, ayant pour but de faciliter l'assemblage de coupures contiguës.",,Rédaction cartographique,,,,,,,,,,,,,,,,,,,,,
bandes alternées,N,,,n.f.,"Ensemble de bandes rectilignes accolées, de largeurs éventuellement différentes et répétées dans le même ordre, que l'on utilise pour représenter qualitativement différents phénomènes coexistant sur une surface donnée.",,Rédaction /représentation cartographique,,,,,,,,,,,,,,,,,,,,,
bas de casse,N,,,n.m.,Caractère d'imprimerie correspondant à une lettre minuscule.,,Rédaction cartographique,,,,,,,,,,,,,,,,,,,,,
basculement,N,,,n.m.,"Rotation de faible amplitude donnée à un modèle ou à un cliché, autour d'un axe situé dans son plan, ayant pour but de modifier légèrement la géométrie de l'image par rapport à celle du modèle.",,,,,,,,,,,,,,,,,,,,,,,
base de données,N,,,n.f.,Ensemble de fichiers relatifs à un thème déterminé et associés à un logiciel permettant leur entretien et leur utilisation efficaces.,,Base de données géographique,,,,,,,,,,,,,,,,,,,,,
base de données cartographiques,,,,n.f.,,,Base de données géographiques,,,,,,,,,,,,,,,,,,,,,
base de données localisées,,,,n.f.,,,Base de données géographiques,base de données géographiques ; base de données à référence spatiale ; base de données repérées dans l'espace ; base de données géoréférencées ; geographic database ; geospatial database ; spatial database,,,,,,,,,,,,,,,,,,,,
bathymétrie,N,,,n.f.,Représentation cartographique du relief de la partie immergée de la surface terrestre ,,,,,,,,,,,,,,,,,,,,,,,
blanchet,N,,,n.m.,"Feuille de caoutchouc, naturel ou synthétique, destinée à servir de support intermédiaire dans la mise en œuvre d'un procédé d'impression indirecte.",,Édition/impression,,,,,,,,,,,,,,,,,,,,,
bloc-diagramme,N,,,n.m.,"Interprétation graphique perspective de cartes ou de photographies d'une zone délimitée, faisant apparaître par des coupes contiguës parallèles le relief de la surface et éventuellement la structure du sous-sol ",,,,,,,,"Image perspective de la surface du sol, d'échelle verticale en général supérieure à l'échelle horizontale, constituée par des coupes parallèles très rapprochées suivant une ou deux directions, obtenue à partir d'un modèle numérique de terrain par des techniques infographiques.",,,,,,,,,,,,,,,
bon à tirer,N,,,n.m.,"Épreuve d'essai finale d'une carte, dûment acceptée par le responsable de l'édition, quelquefois sous réserve de corrections ultimes indiquées sur le document, et portant éventuellement l'indication du chiffre du tirage.",,Édition/impression,,,,,,,,,,,,,,,,,,,,,
bord franc,N,,,n.m.,Côté d'une carte le long duquel le champ s'étend jusqu'à la limite du support.,,Rédaction cartographique,bord perdu,,,,,,,,,,,,,,,,,,,,
bord perdu,N,,,n.m.,Côté d'une carte le long duquel le champ s'étend jusqu'à la limite du support.,,,bord franc,,,,,,,,,,,,,,,,,,,,
bordage,N,,,n.m.,"Protection des bords d'une carte ou d'un document de rédaction, au moyen d'une étroite bande de toile ou de plastique repliée le long du bord du support et collée sur ses deux faces.",,Conservation,,,,,,,,,,,,,,,,,,,,,
bouchage,N,,,n.m.,Opération consistant à éliminer certaines parties transparentes d'une image par dépôt d'un produit opaque.,,,,,,,,,,,,,,,,,,,,,,,
bristol,N,,,n.m.,"Carte d'excellente qualité, de surface lisse, possédant une très bonne aptitude au dessin et à l'impression.",,Papier,,,,,,,,,,,,,,,,,,,,,
brochage,N,,,n.m.,"Système d'assemblage des feuillets ou des cahiers d'un ouvrage par piqûre, collage ou couture, avec une couverture souple de résistance moyenne.",,,,,,,,,,,,,,,,,,,,,,,
brunissoir,O,,,n.m.,"Outil arrondi et lisse utilisé pour polir une surface, appliquer un support adhésif ou pour le décalquage.",,,,,,,,,,,,,,,,,,,,,,,
C.A.O.,,O,,n.f.,(Cartographie assistée par ordinateur) Technique cartographique utilisant un système de traitement automatique de l'information,,,,,,,,,,,,,,,,,,,,,,,
cadastre (selon l'usage français),,,,n.m.,Identification des parcelles de la propriété foncière par la description de leurs limites et/ou leur représentation cartographique ,,Cadastre,,,,,,Ensemble des plans et documents associés définissant la propriété foncière d'une unité du découpage administratif du pays.,,Cadastre,,,,,,,,,,,,,
cadastre étranger,,,,n.m.,,,Cadastre,,,,,,,,,,,,,,,,,,,,,
cadastre français,,,,n.m.,,,Cadastre,,,,,,,,,,,,,,,,,,,,,
cadrage,,,,n.m.,Choix d'une fenêtre appropriée en vue d'une opération déterminée (agrandissement partiel d'une image aux dimensions d'un visuel par exemple).,,,,,,,,,,,,,,,,,,,,,,,
cadre,,,,n.m.,"Trait, ensemble de traits ou motif entourant la surface cartographiée",,Rédaction cartographique,,,orle,,,,,,,,,,,,,,,,,,
cahier,,,,n.m.,Ensemble des feuillets obtenu par pliage d'une feuille imprimée,,Édition/impression,,,,,,,,,,,,,,,,,,,,,
caisson,,,,n.m.,"Échantillon zonal d'une teinte et/ou d'un poncif, inséré dans la légende.",,Documentation,,,,,,,,,,,,,,,,,,,,,
calage,,,,n.m.,,,,,,,,,,,,,,,,,,,,,,,,
calage (d'une forme d'impression),,,,n.m.,"Ensemble des opérations de mise en place relative sur la machine de la forme d'impression et du support d'impression, afin notamment d'obtenir un repérage satisfaisant.",,,,,,,,,,,,,,,,,,,,,,,
calibrage,,,,n.m.,,,,,,,,,,,,,,,,,,,,,,,,
calibration,,,,n.f.,,,,,,,,,,,,,,,,,,,,,,,,
calibre,,,,n.m.,"Distance entre la ligne de base et l'alignement supérieur des bas de casse correspondant aux minuscules dites courtes, dépourvues de parties ascendantes ou descendantes, telles que o, m, u et des petites capitales.",,,hauteur des minuscules,,,,,,,,,,,,,,,,,,,,
calquage,,,,n.m.,"Reproduction d'une image par dessin sur un support translucide ou transparent, placé au contact de cette image.",,,,,,,,,,,,,,,,,,,,,,,
calque ,O,,,n.m.,"Document translucide établi pour faciliter la rédaction cartographique, notamment de la toponymie, des cultures, de renseignements divers.",,Rédaction cartographique,,,,,,,,,,,,,,,,,,,,,
calque numérique,,,,n.m.,,,,,,,,,,,,,,,,,,,,,,,,
caméra numérique,,,,n.f.,,,,,,,,,,,,,,,,,,,,,,,,
canevas,N,,,n.m.,"Réseau constitué par des familles de lignes délimitant des figures polygonales, le plus souvent deux familles délimitant des quadrilatères rectilignes ou curvilignes ; ",,,,,,,,Réseau constitué par un ensemble de points de positions bien définies.,,,,,,,,,,,,,,,
capitale,,,,n.f.,Caractère d'imprimerie correspondant à une lettre majuscule ; ,,,,,,,,"Lettre manuscrite ou autre, ayant l'aspect classique des capitales imprimées.",,,,,,,,,,,,,,,
capteur d'image,,,,n.m.,,,,,,,,,,,,,,,,,,,,,,,,
caractère,,,,n.m.,Élément d'un ensemble de signes identifiables employés conventionnellement pour mettre en œuvre un code.,,Édition/impression,,,,,,Symbole graphique utilisé dans un système d'écriture.,,Édition/impression,,,,,,,,,,,,,
caractère alphanumérique,,,,n.m.,Caractère graphique représenté par une lettre ou chiffre.,,Édition/impression,,,,,,,,,,,,,,,,,,,,,
caractère d'imprimerie,,,,n.m.,Caractère graphique tel qu'il est représenté en imprimerie.,,Édition/impression,,,,,,,,,,,,,,,,,,,,,
caractère droit,,,,n.m.,Caractère dont l'axe est perpendiculaire à la ligne de base,,Édition/impression,caractère romain,,,,,,,,,,,,,,,,,,,,
caractère penché,,,,n.m.,Caractère dont l'axe est incliné sur la ligne de base,,Édition/impression,caractère italique,,,,,,,,,,,,,,,,,,,,
caractère transfert,,,,n.m.,Caractère déposé sur support transparent en vue du procédé transfert,,Édition/impression,,,,,,,,,,,,,,,,,,,,,
caractère typographique,,,,n.m.,"Parallélépipède métallique dont la face supérieure porte un caractère en relief, destiné à la confection de formes d'impression typographiques",,Édition/impression,,,,,,,,,,,,,,,,,,,,,
carreau,,,,n.m.,Maille d'un carroyage.,,COORD. & PROJECTIONS,,,,,,,,,,,,,,,,,,,,,
carroyage,,,,n.m.,"Canevas plan constitué de deux familles de lignes droites ou de faible courbure, délimitant des quadrilatères rectilignes ou curvilignes, voisins de carrés ou de rectangles.",,COORD. & PROJECTIONS,,,quadrillage,,,,,,,,,,,,,,,,,,
carroyage de référence,,,,n.m.,"Carroyage accompagné d'un système de désignation des carreaux, permettant de définir simplement des positions approchées.",,COORD. & PROJECTIONS,,,,,,,,,,,,,,,,,,,,,
carroyage géographique,,,,n.m.,"Carroyage constitué par les méridiens et parallèles correspondant à des valeurs rondes régulièrement espacées de la longitude et de la latitude, sur la projection.",,COORD. & PROJECTIONS,,,,,,,,,,,,,,,,,,,,,
carte (aéronautique) de croisière,,,,n.f.,"Carte destinée à donner les informations nécessaires à la navigation le long des routes normalisées définies par les services de la circulation aérienne, notamment par la représentation de toutes les voies de navigation et de tous les paramètres des aides radioélectriques.",,Carte aéronautique,,,,,,,,,,,,,,,,,,,,,
carte (aéronautique) régionale,,,,n.f.,"Carte destinée à donner les informations nécessaires aux phases de transition entre décollage ou approche d'un aérodrome et vol de croisière, ou à la navigation de croisière dans une zone à structure normalisée très complexe.",,Carte aéronautique,,,,,,,,,,,,,,,,,,,,,
carte (au sens général),,,,n.f.,"Représentation géométrique conventionnelle, en positions relatives, de phénomènes concrets ou abstraits, localisables dans l'espace ; Document portant tout ou partie de cette représentation sous forme d'une figure manuscrite, imprimée ou réalisée par tout autre moyen. ",,Documents cartographiques,,,plan,,,,,,,,,,,,,,,,,,
carte (marine) internationale,,,,n.f.,"Carte marine appartenant à une collection définie et réalisée à la suite d'un accord international, normalement préparée par un pays producteur et librement reproduite avec ou sans modifications par les autres pays parties à l'accord.",,Carte nautique,,,,,,,,,,,,,,,,,,,,,
carte (marine) routière,,,,n.f.,"Carte marine d'échelle généralement inférieure à 1/4 000 000, destinée à la préparation des grandes traversées.",,Carte nautique,,,,,,,,,,,,,,,,,,,,,
carte à grattage,O,,,n.f.,Carte couchée dont la couche est suffisamment épaisse pour permettre plusieurs corrections successives d'un dessin par grattage.,,Supports,,,,,,,,,,,,,,,,,,,,,
carte à lire,,,,n.f.,,,,,,,,,,,,,,,,,,,,,,,,
carte à voir,,,,n.f.,,,,,,,,,,,,,,,,,,,,,,,,
carte à vol d'oiseau,O,,,n.f.,Carte sur laquelle les éléments de la topographie sont représentés sur un fond planimétrique par une figure en perspective cavalière.,,Carte topographique,,,,,,,,,,,,,,,,,,,,,
carte active,,,,n.f.,,,,,,,,,,,,,,,,,,,,,,,,
carte administrative,,,,n.f.,,,Carte thématique,,,,,,,,,,,,,,,,,,,,,
carte aéronautique,,,,n.f.,Carte spécialement conçue pour les besoins de la navigation aérienne.,,Carte aéronautique,,,,,,,,,,,,,,,,,,,,,
carte aéronautique au 1/500 000,,,,n.f.,"Carte destinée à la navigation aérienne à vue pour les vols à petite vitesse, sur de petites ou moyennes distances, à basse altitude et comportant un fond planimétrique très détaillé.",,Carte aéronautique,,,,,,,,,,,,,,,,,,,,,
carte aéronautique de navigation à petite échelle,,,,n.f.,"Carte destinée à la navigation à vue pour les vols à longue distance ou à l'aide à la navigation pour les vols à haute altitude, d'échelle comprise entre 1/2 000 000 et 1/5 000 000 et comportant un fond planimétrique allégé, mais tous les repères utiles.",,Carte aéronautique,,,,,,,,,,,,,,,,,,,,,
carte aéronautique du monde au 1/1 000000,,,,n.f.,"Carte internationale destinée à la navigation aérienne à vue, devant couvrir toute la surface du globe terrestre et comportant un fond planimétrique détaillé de présentation uniforme.",,Carte aéronautique,,,,,,,,,,,,,,,,,,,,,
carte anaglyptique,,,,n.f.,"Carte réalisée en impression anaglyptique, destinée aux non-voyants.",,Typologie de cartes,,,,,,,,,,,,,,,,,,,,,
carte ancienne,O,,,n.f.,Carte réalisée à une époque plus ou moins éloignée.,,,,,cartographie ancienne,,,,,,,,,,,,,,,,,,
carte au trait,O,,,n.f.,,,,,,,,,,,,,,,,,,,,,,,,
carte bathymétrique,,,,n.f.,Carte représentant le relief de la partie immergée de la surface terrestre (bathymétrie).,,Carte hydrographique,,,,,,,,,,,,,,,,,,,,,
carte chorographique,O,,,n.f.,Carte établie à une échelle suffisamment petite pour permettre la représentation des traits généraux d'une région ou d'un ensemble de régions.,,Typologie de cartes,,,,,,,,,,,,,,,,,,,,,
carte choroplèthe,,,,n.f.,,,Typologie de cartes,,,carte thématique ; représentation cartographique,,,,,,,,,,,,,,,,,,
carte d'approche à vue,,,,n.f.,"Carte destinée à l'approche par repérage à vue d'un aérodrome dans le cas où n'existent que des moyens de navigation radioélectriques limités, d'échelle 1/250 000 ou 1/200 000 en général.",,Carte aéronautique,,,,,,,,,,,,,,,,,,,,,
carte d'approche aux instruments,,,,n.f.,"Carte destinée à l'approche aux instruments suivant une procédure approuvée, d'un aérodrome convenablement équipé.",,Carte aéronautique,,,,,,,,,,,,,,,,,,,,,
carte d'aptitude,,,,n.f.,"Carte synthétique représentant l'ensemble des contraintes  et des potentialités d'un espace donné, facilitant ainsi l'établissement de projets d'aménagement pour cet espace.",,Carte thématique,,,,,,,,,,,,,,,,,,,,,
carte d'arrivée normalisée aux instruments,,,,n.f.,Carte destinée à donner les informations nécessaires à la phase de transition entre vol de croisière et approche dans le cas du vol aux instruments suivant une procédure approuvée.,,Carte aéronautique,,,,,,,,,,,,,,,,,,,,,
carte d'atterrissage,,,,n.f.,"Carte marine, d'échelle généralement comprise entre 1/300 000 et 1/500 000, destinée à la navigation à moyenne distance et aux approches de la terre.",,Carte nautique,,,,,,,,,,,,,,,,,,,,,
carte de base,,,,n.f.,"Carte représentant de la façon la plus précise et la plus complète des phénomènes définis, directement issue de l'observation.",,Typologie de cartes,,,carte topographique,,,,,,,,,,,,,,,,,,
carte de cabotage,,,,n.f.,"Carte marine, d'échelle généralement comprise entre 1/100 000 et 1/200 000, destinée à la navigation en vue de la terre.",,Carte nautique,,,,,,,,,,,,,,,,,,,,,
carte de Cassini,N,,,n.f.,,,,,,carte ancienne,,,,,,,,,,,,,,,,,,
